,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use
278,173756,2015,25.0058,1,8,5,5,1,3,2,74.84,1
279,173757,2015,22.2171,2,5,4,7,2,2,2,68.04,2
280,173758,2015,26.8246,2,7,2,7,4,4,2,73.03,2
281,173759,2015,22.4986,2,8,3,4,2,1,2,63.5,2
282,173760,2015,23.0988,2,7,2,2,1,1,2,74.84,2
283,173762,2015,17.68,2,8,7,1,1,4,2,49.9,2
284,173763,2015,27.1998,2,5,4,5,1,4,2,86.18,2
285,173764,2015,18.2006,1,6,5,2,4,1,2,58.97,2
286,173766,2015,23.6996,1,6,5,6,2,3,2,72.58,1
287,173767,2015,32.5845,1,6,7,7,2,3,2,99.79,1
288,173768,2015,23.9,2,4,3,6,2,1,2,63.5,2
289,173769,2015,20.0893,2,8,4,7,2,3,2,56.7,2
290,173770,2015,22.333,1,8,6,7,4,1,2,70.76,1
291,173771,2015,16.1437,2,3,5,7,3,1,2,49.44,2
292,173772,2015,41.6786,2,4,4,1,2,3,2,124.74,2
293,173773,2015,21.9945,1,8,5,5,3,3,2,59.88,2
294,173774,2015,20.2487,2,8,7,4,2,3,2,57.15,2
295,173776,2015,25.5848,2,7,2,2,2,3,2,73.94,2
296,173780,2015,24.5014,1,4,6,1,1,4,2,88.45,2
297,173781,2015,21.8573,2,8,1,1,1,3,2,61.69,2
298,173782,2015,24.1071,1,8,2,1,4,3,2,68.04,1
299,173783,2015,23.3386,1,8,1,7,2,4,2,69.85,2
300,173784,2015,19.9967,2,8,1,6,2,1,2,61.24,2
301,173785,2015,16.0988,2,6,1,2,1,1,2,52.16,2
302,173786,2015,29.157,1,2,2,1,7,4,2,79.38,1
303,173787,2015,31.6547,1,6,1,4,2,3,2,86.18,2
304,173788,2015,19.1589,1,6,2,2,3,3,2,52.16,1
305,173790,2015,30.5455,2,6,4,5,2,4,2,107.96,2
306,173791,2015,19.4922,2,5,4,2,2,2,2,49.9,2
307,173792,2015,20.5701,1,4,2,4,1,1,2,44.45,2
308,173793,2015,28.2526,2,6,4,3,5,1,2,81.65,2
309,173795,2015,29.0381,2,6,5,7,1,3,2,83.92,2
310,173796,2015,15.9036,1,1,7,7,3,3,2,54.43,1
311,173797,2015,27.4894,2,8,5,7,7,1,2,74.84,1
312,173798,2015,20.0893,1,1,1,2,1,1,2,56.7,2
313,173799,2015,17.8394,1,7,3,3,2,3,2,50.35,1
314,173800,2015,25.6088,2,4,6,4,2,3,2,68.04,2
315,173801,2015,29.8201,1,3,5,3,3,3,2,86.18,1
316,173802,2015,17.9355,1,2,2,6,3,2,2,43.09,1
317,173803,2015,23.3906,1,6,3,6,3,4,2,59.88,1
318,173805,2015,23.6208,2,5,6,6,1,3,2,74.84,2
319,173806,2015,21.6978,1,8,5,2,2,3,2,61.24,1
320,173809,2015,32.7779,1,7,5,1,3,1,2,109.77,2
321,173811,2015,21,1,2,4,1,4,4,2,68.04,2
322,173812,2015,20.1616,1,1,7,1,5,4,2,54.89,1
323,173813,2015,23.9467,2,6,3,2,1,4,2,71.67,2
324,173814,2015,23.3242,2,5,4,1,1,2,2,63.5,2
325,173817,2015,17.8934,2,8,3,1,1,1,2,61.24,2
