,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight
195,173648,2015,18.9012,2,6,4,6,3,1,2,61.24
196,173649,2015,20.375,2,1,7,5,2,1,2,52.16
197,173650,2015,15.1077,1,1,4,3,1,3,2,42.64
198,173651,2015,18.8339,1,8,2,7,1,1,2,54.43
199,173653,2015,19.9927,1,8,2,1,2,4,2,54.43
200,173654,2015,21.6978,1,1,4,5,2,4,2,61.24
201,173655,2015,23.7847,2,6,1,5,2,2,2,67.13
202,173656,2015,20.4618,1,8,4,6,2,1,2,61.24
203,173657,2015,16.2531,2,8,2,1,3,1,2,54.43
204,173658,2015,22.6021,2,1,7,7,3,3,2,65.32
205,173660,2015,19.285,2,6,6,2,2,1,2,54.43
206,173661,2015,24.3811,2,5,6,2,1,1,2,81.65
207,173662,2015,41.087,1,7,2,7,6,1,2,130.18
208,173663,2015,18.0149,2,7,2,4,1,1,2,60.33
209,173664,2015,19.4625,2,5,5,4,1,1,2,51.71
210,173665,2015,25.7782,2,8,1,6,2,1,2,68.49
211,173666,2015,19.7576,2,6,4,5,1,1,2,62.6
212,173667,2015,26.3724,2,4,1,5,2,1,2,78.93
213,173668,2015,21.5349,1,6,5,6,7,3,2,60.78
214,173669,2015,25.059,2,8,3,7,3,1,2,83.92
215,173670,2015,28.3379,1,8,2,3,1,3,2,69.85
216,173671,2015,19.7033,2,8,3,3,3,1,2,58.97
217,173672,2015,22.082,2,3,1,5,2,1,2,54.43
218,173673,2015,17.1378,2,6,1,5,3,3,2,38.56
219,173674,2015,19.3284,1,4,2,3,3,1,2,61.24
220,173675,2015,21.4746,2,6,3,1,4,4,2,68.04
221,173677,2015,20.0417,2,8,3,6,2,1,2,63.5
222,173678,2015,30.6158,1,8,1,1,3,1,2,91.63
223,173679,2015,17.68,2,4,3,4,1,2,2,49.9
224,173680,2015,21.5349,2,6,4,2,2,2,2,60.78
225,173681,2015,17.68,1,1,7,7,6,2,2,49.9
226,173682,2015,19.5496,2,5,4,5,1,1,2,58.51
227,173683,2015,19.4637,2,1,1,6,7,2,2,56.25
228,173685,2015,18.2006,2,8,3,5,1,4,2,58.97
229,173687,2015,17.4279,1,8,3,4,1,1,2,52.16
230,173689,2015,18.3213,1,8,1,7,3,4,2,51.71
231,173690,2015,17.8394,1,6,3,3,2,3,2,50.35
232,173691,2015,23.5433,2,8,3,5,1,1,2,68.04
233,173692,2015,19.2555,2,8,1,7,1,4,2,58.97
234,173693,2015,22.7338,2,1,7,1,3,2,2,68.04
235,173694,2015,32.6247,2,5,3,4,1,3,2,92.08
236,173695,2015,16.4626,2,6,1,4,1,1,2,52.16
237,173696,2015,25.8711,2,6,2,5,2,3,2,66.23
238,173697,2015,20.8936,2,4,4,3,3,3,2,58.97
239,173698,2015,23.6584,2,4,1,3,2,3,2,64.41
240,173701,2015,23.3029,2,6,2,6,3,1,2,65.77
241,173702,2015,22.4298,2,6,1,2,1,4,2,67.13
242,173703,2015,30.7647,2,6,2,6,2,4,2,88.91
243,173704,2015,24.9114,2,8,3,4,3,3,2,70.31
244,173705,2015,16.0714,2,6,7,5,2,2,2,45.36
245,173706,2015,18.3213,2,8,2,3,2,1,2,51.71
246,173707,2015,24.0977,1,8,2,5,2,3,2,61.69
247,173708,2015,22.7578,1,8,7,7,2,2,2,65.77
248,173710,2015,21.825,2,8,4,1,3,3,2,65.32
249,173711,2015,19.1589,2,5,2,2,2,3,2,52.16
250,173712,2015,19.2591,2,8,3,5,1,1,2,46.27
251,173713,2015,28.92,1,5,7,3,4,1,2,91.63
252,173714,2015,20.4048,1,5,2,1,4,3,2,58.97
253,173715,2015,30.3117,1,3,3,4,5,3,2,90.72
254,173716,2015,22.7338,2,4,5,3,3,1,2,68.04
255,173718,2015,18.0484,1,4,7,4,3,3,2,52.16
256,173719,2015,20.375,1,8,1,5,2,3,2,52.16
257,173720,2015,17.5,1,5,3,7,2,1,2,56.7
258,173721,2015,20.7191,2,8,2,4,3,1,2,67.13
259,173722,2015,24.4296,1,7,2,1,3,1,2,68.95
260,173723,2015,18.6437,2,8,5,6,5,4,2,52.62
261,173724,2015,19.1235,1,8,3,1,1,2,2,67.59
262,173725,2015,16.8757,2,8,3,2,1,1,2,47.63
263,173726,2015,22.494,2,8,7,4,3,1,2,61.24
264,173727,2015,27.2812,1,7,1,4,1,3,2,81.65
265,173730,2015,27.4316,1,6,3,4,2,3,2,82.1
266,173731,2015,27.2812,2,4,1,4,3,4,2,81.65
267,173732,2015,15.5938,2,8,2,1,1,4,2,39.92
268,173735,2015,23.0988,2,8,2,4,2,1,2,74.84
269,173736,2015,29.7336,2,5,4,4,2,3,2,83.92
270,173737,2015,19.7033,2,5,5,5,1,1,2,58.97
271,173738,2015,40.7314,2,6,4,6,7,4,2,124.74
272,173740,2015,21.2067,2,8,5,5,1,1,2,72.58
273,173741,2015,20.2994,2,6,2,2,2,1,2,65.77
274,173742,2015,16.6592,1,8,5,1,3,1,2,55.79
275,173743,2015,19.0855,1,8,4,4,2,4,2,65.32
276,173744,2015,18.6082,1,8,1,2,1,4,2,49.44
277,173745,2015,18.6082,2,3,4,6,3,3,2,49.44
278,173750,2015,19.1488,2,6,4,4,2,4,2,55.34
279,173751,2015,18.0484,1,3,3,1,2,4,2,52.16
280,173753,2015,19.6319,1,8,1,2,3,2,2,52.16
281,173754,2015,25.6677,2,7,4,5,2,3,2,90.72
282,173755,2015,19.8252,2,8,2,2,2,1,2,47.63
283,173756,2015,25.0058,1,8,5,5,1,3,2,74.84
284,173757,2015,22.2171,2,5,4,7,2,2,2,68.04
285,173758,2015,26.8246,2,7,2,7,4,4,2,73.03
286,173759,2015,22.4986,2,8,3,4,2,1,2,63.5
287,173760,2015,23.0988,2,7,2,2,1,1,2,74.84
288,173762,2015,17.68,2,8,7,1,1,4,2,49.9
289,173763,2015,27.1998,2,5,4,5,1,4,2,86.18
290,173764,2015,18.2006,1,6,5,2,4,1,2,58.97
291,173766,2015,23.6996,1,6,5,6,2,3,2,72.58
292,173767,2015,32.5845,1,6,7,7,2,3,2,99.79
293,173768,2015,23.9,2,4,3,6,2,1,2,63.5
294,173769,2015,20.0893,2,8,4,7,2,3,2,56.7
295,173770,2015,22.333,1,8,6,7,4,1,2,70.76
296,173771,2015,16.1437,2,3,5,7,3,1,2,49.44
297,173772,2015,41.6786,2,4,4,1,2,3,2,124.74
298,173773,2015,21.9945,1,8,5,5,3,3,2,59.88
299,173774,2015,20.2487,2,8,7,4,2,3,2,57.15
300,173776,2015,25.5848,2,7,2,2,2,3,2,73.94
301,173780,2015,24.5014,1,4,6,1,1,4,2,88.45
302,173781,2015,21.8573,2,8,1,1,1,3,2,61.69
303,173782,2015,24.1071,1,8,2,1,4,3,2,68.04
