,index,year,bmi,Vape Use,Physical Activity,Television,Electronic Devices,Grades,race,sex
2958,193163,2017,20.6066,1,1,1,1,1,3,2
2959,193164,2017,21.2067,2,1,1,1,2,1,2
2960,193165,2017,30.3641,1,1,1,1,1,3,2
2961,193166,2017,21.9038,2,1,1,1,1,3,2
2962,193168,2017,18.5143,2,1,1,1,1,3,2
2963,193169,2017,25.6677,2,1,1,1,1,3,2
2964,193171,2017,19.6996,1,1,1,1,1,4,2
2965,193172,2017,22.3657,2,2,1,2,2,1,2
2966,193173,2017,26.9043,1,1,1,1,1,1,2
2967,193174,2017,22.4012,1,1,1,1,1,3,2
2968,193175,2017,16.2407,1,1,1,1,1,1,2
2969,193178,2017,19.7033,2,1,1,1,2,1,2
2970,193179,2017,20.2994,2,1,1,1,1,2,2
