,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
7781,183038,2015,24.2931,2,7,0.5,0.5,1,3,1,59.88,2,2
7782,183039,2015,21.9733,2,4,0.5,0.5,7,1,1,49.44,2,2
7783,183041,2015,19.3556,2,6,1.0,4.0,2,3,1,43.55,2,2
7784,183042,2015,23.1855,1,7,2.0,0.5,3,1,1,57.15,1,2
7785,183044,2015,23.0343,1,2,1.0,1.0,3,1,1,55.34,1,1
7786,183045,2015,22.082,1,0,3.0,4.0,2,1,1,54.43,1,1
7787,183046,2015,26.3134,1,4,2.0,1.0,2,1,1,64.86,1,2
7788,183047,2015,29.7076,1,3,1.0,3.0,2,1,1,78.93,1,1
7789,183048,2015,20.2442,2,4,0.0,5.0,2,3,1,49.9,2,2
7790,183049,2015,22.2171,1,3,0.0,2.0,1,1,1,68.04,1,2
7791,183050,2015,22.3242,1,4,2.0,0.0,2,1,1,57.15,2,1
7792,183051,2015,28.7948,1,1,2.0,0.5,2,2,1,86.18,2,2
7793,183052,2015,21.9875,2,2,0.0,0.0,1,3,1,50.8,2,2
7794,183053,2015,15.5938,2,5,4.0,1.0,1,3,1,39.92,2,2
7795,183054,2015,23.9219,2,4,0.5,1.0,1,1,1,61.24,2,2
7796,183055,2015,18.8495,2,4,2.0,4.0,1,1,1,43.55,2,2
7797,183057,2015,20.77,2,1,1.0,3.0,2,4,1,49.9,2,2
7798,183058,2015,23.7578,2,3,2.0,0.5,1,3,1,54.89,2,2
7799,183060,2015,20.8288,2,7,1.0,0.0,2,1,1,55.34,2,2
7800,183061,2015,24.7544,2,5,0.5,3.0,1,3,1,65.77,2,2
7801,183062,2015,53.315,1,0,0.0,0.0,3,3,1,145.15,1,2
7802,183064,2015,31.8945,2,6,1.0,0.0,2,3,1,81.65,2,2
7803,183067,2015,23.9239,1,5,3.0,5.0,4,3,1,58.97,1,2
7804,183069,2015,17.4814,2,2,4.0,5.0,1,1,1,43.09,2,2
7805,183071,2015,16.2939,2,1,0.5,2.0,1,1,1,49.9,2,2
7806,183073,2015,25.4913,2,0,0.5,5.0,2,1,1,69.4,2,1
7807,183074,2015,23.2188,1,3,5.0,5.0,1,3,1,61.69,1,2
7808,183076,2015,19.7556,1,3,0.0,4.0,4,2,1,44.45,1,2
7809,183078,2015,20.1577,2,0,3.0,0.0,2,2,1,60.33,2,2
7810,183084,2015,23.6004,2,3,1.0,0.5,1,1,1,56.7,2,2
7811,183085,2015,20.2994,2,3,3.0,0.0,1,2,1,65.77,2,2
7812,183086,2015,21.6602,1,0,3.0,5.0,1,3,1,58.97,1,2
7813,183087,2015,21.92,1,4,3.0,4.0,3,1,1,67.13,1,1
7814,183088,2015,21.2617,2,4,1.0,1.0,1,1,1,54.43,2,2
7815,183089,2015,19.3125,1,5,2.0,4.0,2,1,1,49.44,1,2
7816,183091,2015,22.195,2,6,0.5,0.5,2,1,1,58.97,2,2
7817,183092,2015,31.2832,1,5,0.0,4.0,2,3,1,77.11,2,2
7818,183094,2015,22.5834,1,5,0.5,5.0,3,3,1,67.59,2,1
7819,183095,2015,18.6055,2,6,1.0,2.0,2,4,1,47.63,2,2
7820,183096,2015,18.1422,2,3,2.0,5.0,1,4,1,40.82,1,2
7821,183097,2015,21.3477,2,7,3.0,0.0,1,1,1,52.62,2,2
7822,183099,2015,33.6641,2,3,0.5,5.0,2,3,1,86.18,2,2
7823,183100,2015,30.4949,2,0,2.0,3.0,3,4,1,96.62,2,1
7824,183102,2015,22.1778,2,1,0.0,5.0,7,1,1,49.9,2,2
7825,183105,2015,19.6584,1,5,0.0,4.0,1,1,1,53.52,2,2
7826,183106,2015,17.3694,2,3,0.0,5.0,2,3,1,41.73,2,1
7827,183108,2015,25.7617,2,0,0.0,0.0,2,3,1,63.5,1,1
7828,183109,2015,22.8204,2,5,0.0,2.0,1,2,1,56.25,2,2
7829,183110,2015,26.4308,1,3,0.0,4.0,2,3,1,63.5,2,2
7830,183111,2015,27.0949,2,7,2.0,3.0,2,4,1,62.6,2,2
7831,183112,2015,18.9448,2,6,2.0,2.0,1,1,1,56.7,2,2
7832,183113,2015,26.6593,2,7,2.0,0.0,6,3,1,72.58,2,2
7833,183114,2015,18.9936,1,2,0.5,4.0,2,1,1,51.71,2,1
7834,183115,2015,17.5816,1,2,0.0,3.0,3,3,1,52.62,1,2
7835,183116,2015,24.9917,1,3,0.0,0.5,2,3,1,68.04,2,2
7836,183117,2015,18.2198,1,1,0.0,1.0,4,4,1,44.91,1,1
7837,183119,2015,23.003,2,4,0.0,4.0,1,1,1,56.7,2,2
7838,183120,2015,21.7107,2,0,0.0,2.0,1,1,1,52.16,2,2
7839,183121,2015,24.4119,2,0,5.0,5.0,1,3,1,64.86,2,2
7840,183122,2015,21.2617,1,1,3.0,0.0,1,1,1,54.43,1,2
7841,183123,2015,23.4931,2,2,5.0,0.0,4,1,1,63.96,1,2
7842,183124,2015,21.2617,2,5,1.0,0.5,2,1,1,54.43,2,2
7843,183126,2015,21.1903,1,0,0.5,5.0,2,3,1,61.24,2,1
7844,183127,2015,24.736,2,0,3.0,0.0,2,3,1,57.15,2,2
7845,183128,2015,21.8525,2,5,0.5,4.0,2,3,1,58.06,2,2
7846,183130,2015,24.9949,2,0,2.0,1.0,1,3,1,48.99,2,2
7847,183131,2015,18.8803,2,5,1.0,5.0,1,3,1,45.36,2,2
7848,183132,2015,27.6406,2,0,5.0,0.0,2,3,1,70.76,2,2
7849,183134,2015,34.3642,1,1,4.0,4.0,1,3,1,82.56,1,2
7850,183136,2015,21.9723,1,3,3.0,0.0,2,3,1,63.5,1,1
7851,183137,2015,29.6566,1,3,0.0,2.0,1,3,1,80.74,1,2
7852,183138,2015,15.7063,2,2,0.0,2.0,1,2,1,41.73,2,2
7853,183139,2015,20.9913,1,7,0.0,0.0,2,4,1,45.36,1,2
7854,183140,2015,22.7753,1,5,3.0,5.0,2,3,1,52.62,1,2
7855,183141,2015,17.3633,1,4,0.0,5.0,7,1,1,44.45,1,2
7856,183142,2015,24.5453,2,6,0.5,4.0,3,1,1,58.97,2,1
7857,183143,2015,21.1874,1,7,3.0,4.0,1,1,1,67.13,2,2
7858,183144,2015,22.6338,1,5,2.0,1.0,2,2,1,55.79,1,1
7859,183146,2015,36.1445,2,6,0.5,0.5,1,1,1,92.53,2,2
7860,183147,2015,25.1602,1,4,1.0,0.0,1,3,1,64.41,1,2
7861,183148,2015,27.7861,2,3,1.0,4.0,2,4,1,68.49,2,2
7862,183150,2015,18.9626,1,1,0.0,5.0,3,4,1,53.52,2,2
7863,183151,2015,19.6337,1,0,5.0,5.0,1,4,1,47.17,1,2
7864,183152,2015,17.8506,2,0,0.0,0.0,1,4,1,44,1,2
7865,183154,2015,18.127,2,0,2.0,2.0,1,4,1,43.55,2,2
7866,183155,2015,20.9785,2,0,4.0,0.0,1,1,1,51.71,2,2
7867,183156,2015,21.4759,1,7,0.5,3.0,1,1,1,65.77,2,2
7868,183157,2015,33.3752,1,2,2.0,2.0,3,3,1,77.11,1,2
7869,183158,2015,27.3176,2,0,2.0,5.0,1,2,1,72.58,2,2
7870,183159,2015,23.9792,2,7,1.0,2.0,2,3,1,57.61,1,2
7871,183160,2015,24.3372,2,5,1.0,2.0,1,1,1,77.11,2,2
7872,183161,2015,23.003,2,0,2.0,0.0,5,4,1,56.7,1,2
7873,183162,2015,22.5039,2,0,0.5,1.0,2,1,1,57.61,2,2
7874,183163,2015,18.3213,1,0,0.0,0.0,3,2,1,51.71,1,1
7875,183164,2015,31.4145,1,5,0.5,4.0,1,3,1,72.58,1,2
